galaxy_name,in_working56,sparc_match_name,logA0,delta_a0,logMHI,rcWiggliness,envCode,logSigma0_bar,meanRun
ESO563-G021,YES,ESO563-G021,3.9334,0.3700,1.3860,0.098200,0,3.2220,0.7320
F571-8,YES,F571-8,3.7879,0.2245,0.2510,0.024000,0,2.1060,0.6530
IC4202,YES,IC4202,3.6353,0.0719,1.0910,0.044700,0,3.0980,0.5440
NGC0024,YES,NGC0024,4.0928,0.5294,-0.1700,0.085900,1,2.5370,0.9850
NGC0289,YES,NGC0289,3.3250,-0.2384,1.4390,0.086500,0,2.4020,0.6690
NGC0801,YES,NGC0801,3.2042,-0.3592,1.3660,0.028900,0,2.8160,0.7400
NGC0891,YES,NGC0891,3.4046,-0.1588,0.6500,0.007500,1,3.5300,0.4770
NGC1003,YES,NGC1003,3.4521,-0.1113,0.7690,0.066500,0,2.6220,0.7110
NGC1090,YES,NGC1090,3.3626,-0.2008,0.9440,0.045600,0,2.9640,0.8450
NGC1705,YES,NGC1705,4.1197,0.5563,-0.8570,0.059400,0,2.7460,0.8450
NGC2403,YES,NGC2403,3.6637,0.1003,0.5050,0.047200,1,2.9180,1.0180
NGC2683,YES,NGC2683,3.4383,-0.1251,0.1480,0.069100,0,3.4300,0.4390
NGC2841,YES,NGC2841,4.0284,0.4650,0.9900,0.035900,0,3.3540,1.3980
NGC2903,YES,NGC2903,3.5894,0.0260,0.4070,0.040200,0,3.3800,0.7160
NGC2915,YES,NGC2915,4.0841,0.5207,-0.2940,0.093400,0,2.5280,0.7320
NGC2955,YES,NGC2955,3.3881,-0.1753,1.4620,0.062200,0,2.1600,0.6990
NGC2998,YES,NGC2998,3.8076,0.2442,1.3700,0.209100,0,2.7960,0.8130
NGC3198,YES,NGC3198,3.4749,-0.0885,1.0360,0.038200,0,2.7910,1.1140
NGC3521,YES,NGC3521,3.6344,0.0710,0.6180,0.034300,0,3.3700,0.9140
NGC3726,YES,NGC3726,3.2330,-0.3304,0.8110,0.053300,2,2.9850,0.4770
NGC3741,YES,NGC3741,3.5545,-0.0089,-0.7400,0.050000,0,2.0470,0.7200
NGC3769,YES,NGC3769,3.3375,-0.2259,0.7430,0.033900,2,2.4150,0.3420
NGC3893,YES,NGC3893,3.6091,0.0457,0.7630,0.024500,2,3.2160,0.4770
NGC4013,YES,NGC4013,3.4406,-0.1228,0.4720,0.043700,2,3.0040,0.8570
NGC4100,YES,NGC4100,3.6226,0.0592,0.4920,0.057500,2,3.3110,0.7780
NGC4138,YES,NGC4138,3.5278,-0.0356,0.1710,0.047000,2,3.4880,0.3680
NGC4157,YES,NGC4157,3.3317,-0.2317,0.9150,0.023800,2,3.4950,0.8750
NGC4217,YES,NGC4217,3.2256,-0.3378,0.4090,0.009300,2,3.1960,0.7400
NGC4559,YES,NGC4559,3.2236,-0.3398,0.7640,0.037600,2,2.8450,0.8060
NGC5005,YES,NGC5005,3.5918,0.0284,0.1070,0.009100,1,2.5030,0.4770
NGC5033,YES,NGC5033,3.5919,0.0285,1.0540,0.024700,1,2.8200,0.8020
NGC5055,YES,NGC5055,3.2345,-0.3289,1.0690,0.014800,1,3.3760,0.8450
NGC5371,YES,NGC5371,3.1167,-0.4467,1.0480,0.054300,1,2.9910,0.8020
NGC5907,YES,NGC5907,3.5194,-0.0440,1.3230,0.063600,1,2.9910,0.6770
NGC6015,YES,NGC6015,3.6764,0.1130,0.7660,0.090100,0,2.9850,0.9440
NGC6195,YES,NGC6195,3.1492,-0.4142,1.3200,0.027100,0,2.5060,0.4560
NGC6503,YES,NGC6503,3.5598,-0.0036,0.2420,0.059800,0,2.6420,0.5880
NGC6674,YES,NGC6674,3.7087,0.1453,1.5070,0.053600,0,2.9710,0.8750
NGC7331,YES,NGC7331,3.3905,-0.1729,1.0440,0.010400,1,3.1990,1.1300
NGC7814,YES,NGC7814,3.8055,0.2421,0.0290,0.011800,0,3.2640,0.6020
UGC00128,YES,UGC00128,3.5456,-0.0178,0.8710,0.114700,0,1.7330,0.8650
UGC01281,YES,UGC01281,3.3955,-0.1679,-0.5320,0.058900,0,1.3250,0.7600
UGC02885,YES,UGC02885,3.6148,0.0514,1.6030,0.062800,0,2.6940,0.6770
UGC02916,YES,UGC02916,3.3525,-0.2109,1.3670,0.109700,0,2.7180,0.8890
UGC02953,YES,UGC02953,3.8192,0.2558,0.8850,0.075400,0,3.5160,1.1420
UGC03205,YES,UGC03205,3.7656,0.2022,0.9860,0.071400,0,3.2500,1.0610
UGC03546,YES,UGC03546,3.4787,-0.0847,0.4270,0.022400,0,3.0500,0.5740
UGC03580,YES,UGC03580,3.3500,-0.2134,0.6400,0.138800,0,2.5530,0.6810
UGC05721,YES,UGC05721,4.0354,0.4720,-0.2500,0.081500,0,2.7670,0.8850
UGC06786,YES,UGC06786,3.9539,0.3905,0.7020,0.090400,0,2.9550,0.7500
UGC06787,YES,UGC06787,3.9040,0.3406,0.7020,0.037200,0,2.7340,1.1140
UGC06973,YES,UGC06973,3.4244,-0.1390,0.2440,0.002400,2,3.8740,0.3980
UGC08490,YES,UGC08490,3.8021,0.2387,-0.1430,0.037500,0,2.5570,0.8750
UGC08699,YES,UGC08699,3.7134,0.1500,0.5730,0.039100,0,2.9230,0.8570
UGC09037,YES,UGC09037,3.0566,-0.5068,1.2810,0.040300,0,2.7750,0.6770
UGC09133,YES,UGC09133,3.4647,-0.0987,1.5240,0.063300,0,2.9670,1.0000