galaxy_name,logA0,logMHI,rcWiggliness,logMhost,logSigma0,logMeanRun,logUpsilon_disk,morphT,Vflat_km_s,D_Mpc,inc_deg,RHI_kpc,Rdisk_kpc,L36_1e9Lsun,Q_SPARC
NGC0024,4.092800,-0.170000,0.085900,10.979600,2.537000,0.985000,-0.301030,5,106.3,7.3,64,7.29,1.34,3.889,1
NGC0289,3.325000,1.439000,0.086500,11.600000,2.402000,0.669000,-0.327902,4,163,20.8,46,49.51,6.74,72.065,2
NGC0891,3.404600,0.650000,0.007500,12.800000,3.530000,0.477000,-0.214670,3,216.1,9.91,90,18.16,2.55,138.34,1
NGC1003,3.452100,0.769000,0.066500,11.700000,2.622000,0.711000,-0.397940,6,109.8,11.4,67,33.33,1.61,6.82,1
NGC1090,3.362600,0.944000,0.045600,11.500000,2.964000,0.845000,-0.346787,4,164.4,37,64,30.49,3.53,72.045,1
NGC1705,4.119700,-0.857000,0.059400,10.470187,2.746000,0.845000,-0.585027,11,71.9,5.73,80,2.36,0.39,0.533,3
NGC2403,3.663700,0.505000,0.047200,12.500000,2.918000,1.018000,-0.346787,6,131.2,3.16,63,15.11,1.39,10.041,1
NGC2683,3.438300,0.148000,0.069100,11.962562,3.430000,0.439000,-0.283997,3,154,9.81,80,13.79,2.18,80.415,2
NGC2841,4.028400,0.990000,0.035900,11.700000,3.354000,1.398000,-0.130768,3,284.8,14.1,76,45.12,3.64,188.121,1
NGC2903,3.589400,0.407000,0.040200,11.698695,3.380000,0.716000,-0.244125,4,184.6,6.6,66,13.76,2.33,81.863,1
NGC2915,4.084100,-0.294000,0.093400,10.665059,2.528000,0.732000,-0.657577,11,83.5,4.06,56,7.16,0.55,0.641,2
NGC3198,3.474900,1.036000,0.038200,11.500000,2.791000,1.114000,-0.327902,5,150.1,13.8,73,35.66,3.14,38.279,1
NGC3521,3.634400,0.618000,0.034300,11.600000,3.370000,0.914000,-0.221849,4,213.7,7.7,75,18.85,2.4,84.836,1
NGC3726,3.233000,0.811000,0.053300,12.100000,2.985000,0.477000,-0.481486,5,168,18,53,22.2,3.4,70.234,2
NGC3741,3.554500,-0.740000,0.050000,12.500000,2.047000,0.720000,-0.744727,10,50.1,3.21,70,4.2,0.2,0.028,1
NGC3769,3.337500,0.743000,0.033900,12.100000,2.415000,0.342000,-0.431798,3,118.6,18,70,22.57,3.38,18.679,2
NGC3893,3.609100,0.763000,0.024500,11.900000,3.216000,0.477000,-0.356547,5,174,18,49,20.84,2.38,58.525,1
NGC4013,3.440600,0.472000,0.043700,13.000000,3.004000,0.857000,-0.301030,3,172.9,18,89,31.35,3.53,79.094,2
NGC4100,3.622600,0.492000,0.057500,13.000000,3.311000,0.778000,-0.309804,4,158.2,18,73,18.06,2.15,59.394,1
NGC4138,3.527800,0.171000,0.047000,13.000000,3.488000,0.368000,-0.102373,0,147.3,18,53,18.58,1.51,44.111,2
NGC4157,3.331700,0.915000,0.023800,13.000000,3.495000,0.875000,-0.327902,3,184.7,18,82,24.09,2.32,105.62,1
NGC4217,3.225600,0.409000,0.009300,13.000000,3.196000,0.740000,-0.259637,3,181.3,18,86,16.7,2.94,85.299,1
NGC4559,3.223600,0.764000,0.037600,12.200000,2.845000,0.806000,-0.657577,6,121.2,9,67,21.16,2.1,19.377,1
NGC5005,3.591800,0.107000,0.009100,12.000000,2.503000,0.477000,-0.275724,4,262.2,16.9,68,10.41,9.45,178.72,1
NGC5033,3.591900,1.054000,0.024700,12.000000,2.820000,0.802000,-0.275724,5,194.2,15.7,66,29.53,5.16,110.509,1
NGC5055,3.234500,1.069000,0.014800,12.300000,3.376000,0.845000,-0.251812,4,179,9.9,55,35.06,3.2,152.922,1
NGC5371,3.116700,1.048000,0.054300,12.300000,2.991000,0.802000,-0.301030,4,209.5,39.7,53,30.03,7.44,340.393,1
NGC5907,3.519400,1.323000,0.063600,11.600000,2.991000,0.677000,-0.318759,5,215,17.3,88,0,5.34,175.425,1
NGC6015,3.676400,0.766000,0.090100,11.400000,2.985000,0.944000,-0.327902,6,154.1,17,60,21.43,2.3,32.129,2
NGC6503,3.559800,0.242000,0.059800,11.500000,2.642000,0.588000,-0.283997,6,116.3,6.26,74,14.05,2.16,12.845,1
NGC6674,3.708700,1.507000,0.053600,11.800000,2.971000,0.875000,-0.259637,3,241.3,51.2,54,50.02,6.04,214.654,1
NGC7331,3.390500,1.044000,0.010400,11.800000,3.199000,1.130000,-0.236572,3,239,14.7,75,27.01,5.02,250.631,1
NGC7814,3.805500,0.029000,0.011800,11.800000,3.264000,0.602000,-0.148742,2,218.9,14.4,90,12.15,2.54,74.529,1
UGC01281,3.395500,-0.532000,0.058900,11.500000,1.325000,0.760000,-0.602060,8,55.2,5.27,90,5.26,1.63,0.353,1
UGC02953,3.819200,0.885000,0.075400,12.000000,3.516000,1.142000,-0.259637,2,264.9,16.5,50,24,3.55,259.518,2
UGC03205,3.765600,0.986000,0.071400,11.900000,3.250000,1.061000,-0.259637,2,219.6,50,67,28.6,3.19,113.642,1
UGC03546,3.478700,0.427000,0.022400,12.000000,3.050000,0.574000,-0.221849,1,196.9,28.7,55,18.37,3.79,101.336,1
UGC03580,3.350000,0.640000,0.138800,11.800000,2.553000,0.681000,-0.259637,1,126.2,20.7,63,19.97,2.43,13.266,2
UGC05721,4.035400,-0.250000,0.081500,10.604375,2.767000,0.885000,-0.522879,7,79.7,6.18,61,6.74,0.38,0.531,1
UGC06786,3.953900,0.702000,0.090400,11.700000,2.955000,0.750000,-0.259637,0,219.4,29.3,64,20.31,3.6,73.407,1
UGC06787,3.904000,0.702000,0.037200,11.800000,2.734000,1.114000,-0.259637,2,248.1,21.3,66,26.44,5.37,98.256,2
UGC06973,3.424400,0.244000,0.002400,12.000000,3.874000,0.398000,-0.301030,2,174.2,18,71,11.57,1.07,53.87,3
UGC08490,3.802100,-0.143000,0.037500,12.800000,2.557000,0.875000,-0.602060,9,78.6,4.65,50,7.8,0.67,1.017,1
UGC08699,3.713400,0.573000,0.039100,11.900000,2.923000,0.857000,-0.259637,2,182.4,39.3,73,19.05,3.09,50.302,2
UGC09133,3.464700,1.524000,0.063300,11.700000,2.967000,1.000000,-0.301030,2,226.8,57.1,53,60.35,6.97,282.926,1
